Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,0.00386499983177562,-2.03247211452134E-05,-1.80951555348724E-05,0,0,0,3.74183134376699,0.00953237368262341,1.89363178280218E-11,-1.01659953800154E-07,0.0083275072712231,-2.58537971389596E-12,0.0118622227773655,0,0,0,0,0,0,package://Creeper20260714/meshes/base.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Creeper20260714/meshes/base.STL,,前部连接件-6061-1;GO-M8010-6电机3D模型-7;260mm2020-4;260mm2020-3;GO-M8010-6电机3D模型-1;260mm2020-2;GO-M8010-6电机3D模型-10;后部连接件-1;GO-M8010-6电机3D模型-4;260mm2020-1;前面板髋关节限位块-3;前面板髋关节限位块-4;前面板髋关节限位块-8;前面板髋关节限位块-7;前面板髋关节限位块-5;前面板髋关节限位块-6;前面板髋关节限位块-2;前面板髋关节限位块-1;前部防护件-1;机身主体-1,base_Coordinate System,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip,0.0431603084579474,-0.00285111325644608,-0.000548881302929932,0,0,0,0.320256693089227,0.000202558487378132,-2.52875164704917E-08,-3.20671099086801E-06,0.000338511851620636,3.0639885191781E-08,0.000165734343548543,0,0,0,0,0,0,package://Creeper20260714/meshes/FL_hip.STL,0.643137254901961,0.615686274509804,0.6,1,0,0,0,0,0,0,package://Creeper20260714/meshes/FL_hip.STL,,GO-M8010-6电机3D模型-9;髋关节连接件-单面-6061-左前-1;大腿-小腿关节限位块-4,FL_hip_Coordinate System,FL_hip_axis,FL_hip_joint,revolute,0.1366,0.0650000000000001,0,0,0,0,base,-1,0,0,0,0,0,0,,,,,,,,
FL_thigh,-0.000489671141172848,0.033870013963175,-0.0348280717734466,0,0,0,0.76538912651759,0.00270283362642319,-9.91541372042529E-07,-5.66527374408905E-05,0.0031617559141559,8.39811249232385E-07,0.000482550188376098,0,0,0,0,0,0,package://Creeper20260714/meshes/FL_thigh.STL,0.643137254901961,0.615686274509804,0.6,1,0,0,0,0,0,0,package://Creeper20260714/meshes/FL_thigh.STL,,GO-M8010-6电机3D模型-8;大腿内侧-6061-左侧-1;大腿打印件-镜像左侧-1;大腿外侧-6061-3mm-4;2-3关节连接件-前左-6061-1,FL_thigh_Coordinate System,FL_thigh_axis,FL_thigh_joint,revolute,0.0582500000000014,0.0186,0,0,0,0,FL_hip,0,1,0,0,0,0,0,,,,,,,,
FL_calf,0.00631299328437346,-2.44962006318572E-05,-0.0917686544938744,0,0,0,0.247799276349931,0.000559369450508884,7.27767290770979E-09,3.19275906514457E-05,0.000579943419434484,5.90377388399681E-08,2.49336124638641E-05,0,0,0,0,0,0,package://Creeper20260714/meshes/FL_calf.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Creeper20260714/meshes/FL_calf.STL,,小腿外侧曲线-镜像-6061-4;小腿外侧曲线-6061-4;小腿中间曲线-6061-4;小腿饰板2-2;足端打印件-5;硅胶足端-4;小腿饰板1-2,FL_calf_Coordinate System,FL_calf_axis,FL_calf_joint,revolute,0,0.0571999999999998,-0.210000000000001,0,0,0,FL_thigh,0,1,0,0,0,0,0,,,,,,,,
FR_hip,0.0488518947910704,-0.00192525478270265,-0.00015510327322886,0,0,0,0.257407927514488,0.000156846815669293,5.06258230404034E-06,-1.06041391708468E-06,0.000275360062616544,9.35203969424092E-07,0.00014033952573263,0,0,0,0,0,0,package://Creeper20260714/meshes/FR_hip.STL,0.643137254901961,0.615686274509804,0.6,1,0,0,0,0,0,0,package://Creeper20260714/meshes/FR_hip.STL,,GO-M8010-6电机3D模型-3;髋关节连接件-前腿-6061-1;大腿-小腿关节限位块-2,FR_hip_Coordinate System,FR_hip_axis,FR_hip_joint,revolute,0.1366,-0.065,0,0,0,0,base,1,0,0,0,0,0,0,,,,,,,,
FR_thigh,-0.00138356714240059,-0.0372521299929286,-0.0290600607162528,0,0,0,0.589774741172531,0.00178232184904083,-7.78885731305333E-07,-2.43318120038301E-05,0.00212930364572145,-6.58052186418647E-07,0.000367961460449924,0,0,0,0,0,0,package://Creeper20260714/meshes/FR_thigh.STL,0.643137254901961,0.615686274509804,0.6,1,0,0,0,0,0,0,package://Creeper20260714/meshes/FR_thigh.STL,,GO-M8010-6电机3D模型-2;大腿内侧-6061-1;大腿打印件-1;大腿外侧-6061-3mm-1;2-3关节连接件-前右-6061-2,FR_thigh_Coordinate System,FR_thigh_axis,FR_thigh_joint,revolute,0.05825,-0.0185999999999999,0,0,0,0,FR_hip,0,-1,0,0,0,0,0,,,,,,,,
FR_calf,0.00631299328437376,-2.82624520819563E-05,-0.0917686544938743,0,0,0,0.247799276349931,0.000559369450508884,7.27767290771992E-09,3.19275906514456E-05,0.000579943419434487,5.90377388401947E-08,2.4933612463867E-05,0,0,0,0,0,0,package://Creeper20260714/meshes/FR_calf.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Creeper20260714/meshes/FR_calf.STL,,小腿中间曲线-6061-1;小腿外侧曲线-镜像-6061-1;小腿外侧曲线-6061-1;小腿饰板2-4;足端打印件-6;硅胶足端-5;小腿饰板1-4,FR_calf_Coordinate System,FR_calf_axis,FR_calf_joint,revolute,0,-0.0571999999999967,-0.210000000000007,0,0,0,FR_thigh,0,1,0,0,0,0,0,,,,,,,,
RL_hip,-0.0393361409595493,-0.0226400630712833,-0.00103913853424456,0,0,0,0.383105458604425,0.00024827015908543,5.06258230369592E-06,-1.78041535249447E-06,0.000401663640603311,-9.35203969371761E-07,0.000191129161344077,0,0,0,0,0,0,package://Creeper20260714/meshes/RL_hip.STL,0.643137254901961,0.615686274509804,0.6,1,0,0,0,0,0,0,package://Creeper20260714/meshes/RL_hip.STL,,GO-M8010-6电机3D模型-12;髋关节连接件-单面-6061-左后-1;大腿-小腿关节限位块-5,RL_hip_Coordinate System,RL_hip_axis,RL_hip_joint,revolute,-0.1366,0.0650000000000006,0,0,0,0,base,-1,0,0,0,0,0,0,,,,,,,,
RL_thigh,-0.000605616569703843,0.0337890578146834,-0.0346416552015531,0,0,0,0.767995666671646,0.00270351010113163,-6.19424853514095E-07,-5.56159167100681E-05,0.00316653098039147,7.2762594166608E-07,0.000486786032280311,0,0,0,0,0,0,package://Creeper20260714/meshes/RL_thigh.STL,0.643137254901961,0.615686274509804,0.6,1,0,0,0,0,0,0,package://Creeper20260714/meshes/RL_thigh.STL,,GO-M8010-6电机3D模型-11;大腿内侧-6061-左侧-2;大腿打印件-镜像左侧-2;大腿外侧-6061-3mm-5;2-3关节连接件-左后-6061-2,RL_thigh_Coordinate System,RL_thigh_axis,RL_thigh_joint,revolute,-0.0582499999999999,0.0186000000000001,0,0,0,0,RL_hip,0,1,0,0,0,0,0,,,,,,,,
RL_calf,0.0063129932843731,-2.44962006353266E-05,-0.0917686544938742,0,0,0,0.247799276349931,0.000559369450508884,7.27767290772805E-09,3.19275906514457E-05,0.000579943419434484,5.90377388397106E-08,2.49336124638644E-05,0,0,0,0,0,0,package://Creeper20260714/meshes/RL_calf.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Creeper20260714/meshes/RL_calf.STL,,小腿中间曲线-6061-5;小腿外侧曲线-镜像-6061-5;小腿外侧曲线-6061-5;小腿饰板2-1;足端打印件-1;硅胶足端-2;小腿饰板1-1,RL_calf_Coordinate System,RL_calf_axis,RL_calf_joint,revolute,0,0.0572,-0.21,0,0,0,RL_thigh,0,1,0,0,0,0,0,,,,,,,,
